DATA: 2026-03-02 09:33 | TITULO: EDITAL SMCT Nº10/2026 - SUBSÍDIO  PARA ESPAÇOS CULTURAIS - PNAB - CICLO 2 | URL: https://prosas.com.br/editais/17146
DATA: 2026-03-02 09:33 | TITULO: EDITAL SMCT Nº 09/2026 - SELEÇÃO DE PROPOSTAS PARA CONCESSÃO DE BOLSAS – PNAB - CICLO 2 | URL: https://prosas.com.br/editais/17148
DATA: 2026-03-02 09:33 | TITULO: EDITAL SMCT Nº 11/2026 - SELEÇÃO DE PROPOSTAS DE ESPAÇOS E INICIATIVAS CULTURAIS EMERGENTES PARA RECEBIMENTO DE FOMENTO PARA MANUTENÇÃO - PNAB - CICLO 2 | URL: https://prosas.com.br/editais/17150
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL DE FOMENTO A PROJETOS DE MÚSICA | URL: https://prosas.com.br/editais/17120
DATA: 2026-03-02 09:33 | TITULO: EDITAL DE CHAMAMENTO PÚBLICO Nº 003/2026 SELEÇÃO DE PROJETOS GEEK / NERD PARA FIRMAR TERMO DE EXECUÇÃO CULTURAL COM RECURSOS DA POLÍTICA NACIONAL ALDIR BLANC DE À CULTURA (PNAB) | URL: https://prosas.com.br/editais/17239
DATA: 2026-03-02 09:33 | TITULO: Edital Nº 016/2026 - PIBEX -  PROJETOS INSTITUCIONAIS | URL: https://prosas.com.br/editais/17223
DATA: 2026-03-02 09:33 | TITULO: EDITAL SMCT Nº 01/2026 SELEÇÃO PARA INTERESSADOS EM PARTICIPAR DA FEIRA CULTURAL | URL: https://prosas.com.br/editais/17027
DATA: 2026-03-02 09:33 | TITULO: Edital Brasil com S | URL: https://prosas.com.br/editais/17010
DATA: 2026-03-02 09:33 | TITULO: EDITAL DE CHAMAMENTO PÚBLICO Nº 004/2026 - REDE ESTADUAL DE PONTOS DE CULTURA DE MATO GROSSO DO SUL | URL: https://prosas.com.br/editais/17245
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL CULTURA VIVA: CONCESSÃO DE BOLSAS CULTURA VIVA PARA MESTRAS E MESTRES | URL: https://prosas.com.br/editais/17137
DATA: 2026-03-02 09:33 | TITULO: EDITAL CULTURA VIVA: FOMENTO A PROJETOS CONTINUADOS DE PONTÕES DE CULTURA | URL: https://prosas.com.br/editais/17135
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL CULTURA VIVA: FOMENTO A PROJETOS CONTINUADOS DE PONTOS DE CULTURA | URL: https://prosas.com.br/editais/17134
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA -  EDITAL DE FOMENTO A PROJETOS DE CULTURAS POPULARES | URL: https://prosas.com.br/editais/17132
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL PARAÍBA ÉTNICA | URL: https://prosas.com.br/editais/17131
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL PARAÍBA INCLUSIVA | URL: https://prosas.com.br/editais/17128
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL DE APOIO A PROJETOS DAS ARTES VISUAIS | URL: https://prosas.com.br/editais/17127
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL DE FOMENTO A PROJETOS DE AUDIOVISUAL | URL: https://prosas.com.br/editais/17122
DATA: 2026-03-02 09:33 | TITULO: PNAB PARAÍBA - EDITAL DE FOMENTO A PROJETOS DE ARTES CÊNICAS | URL: https://prosas.com.br/editais/17109
DATA: 2026-03-02 09:33 | TITULO: MTE apresenta prioridades da economia popular e ...GOV.BRhttps://www.gov.br› ... › 2026 › Fevereiro | URL: https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2026/fevereiro/mte-apresenta-prioridades-da-economia-popular-e-solidaria-para-2026-em-live-da-senaes
DATA: 2026-03-02 09:33 | TITULO: MTE e Dieese lançam edital para artigos científicos sobre o ...www.gov.brhttps://www.gov.br› ... › 2026 › Fevereiro | URL: https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2026/fevereiro/mte-e-dieese-lancam-edital-para-artigos-cientificos-sobre-o-salario-minimo-1
